genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
['pop punk'],https://api.spotify.com/v1/artists/0hp58JplihFjlLstUbKS0x,0hp58JplihFjlLstUbKS0x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3bbcb61ecf369bf951b5ea61', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743bbcb61ecf369bf951b5ea61', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783bbcb61ecf369bf951b5ea61', 'width': 160}]",The Home Team,49,artist,spotify:artist:0hp58JplihFjlLstUbKS0x,https://open.spotify.com/artist/0hp58JplihFjlLstUbKS0x,,71324
"['dance pop', 'pop']",https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF,4nDoRrQiYLoBzwC5BhVJzF,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebec05963eab63676a539fef13', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ec05963eab63676a539fef13', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ec05963eab63676a539fef13', 'width': 160}]",Camila Cabello,78,artist,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF,,32303741
"['pop r&b', 'pop rap', 'r&b']",https://api.spotify.com/v1/artists/7ibAWtDtmEfaVhc1FJ3Vl9,7ibAWtDtmEfaVhc1FJ3Vl9,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb57e1a650151e31195899c750', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517457e1a650151e31195899c750', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17857e1a650151e31195899c750', 'width': 160}]",Eric Bellinger,59,artist,spotify:artist:7ibAWtDtmEfaVhc1FJ3Vl9,https://open.spotify.com/artist/7ibAWtDtmEfaVhc1FJ3Vl9,,840133
"['barbadian pop', 'pop', 'urban contemporary']",https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517499e4fca7c0b7cb166d915789', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17899e4fca7c0b7cb166d915789', 'width': 160}]",Rihanna,88,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,,59104219
"['modern blues rock', 'rebel blues']",https://api.spotify.com/v1/artists/5AVBFCn4Hq4KY2Xjc5Gj4y,5AVBFCn4Hq4KY2Xjc5Gj4y,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8d752e5560328c89abd81452', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748d752e5560328c89abd81452', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788d752e5560328c89abd81452', 'width': 160}]",Blues Saraceno,47,artist,spotify:artist:5AVBFCn4Hq4KY2Xjc5Gj4y,https://open.spotify.com/artist/5AVBFCn4Hq4KY2Xjc5Gj4y,,139117
['country rap'],https://api.spotify.com/v1/artists/0AkmSuTOzM2pNCIOSP8ziv,0AkmSuTOzM2pNCIOSP8ziv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3f6076160f83a534c6cf3be1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743f6076160f83a534c6cf3be1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783f6076160f83a534c6cf3be1', 'width': 160}]",Amigo the Devil,48,artist,spotify:artist:0AkmSuTOzM2pNCIOSP8ziv,https://open.spotify.com/artist/0AkmSuTOzM2pNCIOSP8ziv,,143976
"['modern blues rock', 'rebel blues']",https://api.spotify.com/v1/artists/2WawM0NGbPNj0LufQkaTSE,2WawM0NGbPNj0LufQkaTSE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735efc0251222fa60fc43f8898', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025efc0251222fa60fc43f8898', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515efc0251222fa60fc43f8898', 'width': 64}]",Shawn James & the Shapeshifters,31,artist,spotify:artist:2WawM0NGbPNj0LufQkaTSE,https://open.spotify.com/artist/2WawM0NGbPNj0LufQkaTSE,,41093
[],https://api.spotify.com/v1/artists/0mC8ifdqPQYdUODibnvySl,0mC8ifdqPQYdUODibnvySl,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebda78edcb4784bc6ae365bcd7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174da78edcb4784bc6ae365bcd7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178da78edcb4784bc6ae365bcd7', 'width': 160}]",molly ofgeography,26,artist,spotify:artist:0mC8ifdqPQYdUODibnvySl,https://open.spotify.com/artist/0mC8ifdqPQYdUODibnvySl,,3344
['deathgrass'],https://api.spotify.com/v1/artists/3k9kCfMqAsrd90TMsYzzmo,3k9kCfMqAsrd90TMsYzzmo,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb27ff7bf9eec1b2cc4c58fecb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517427ff7bf9eec1b2cc4c58fecb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17827ff7bf9eec1b2cc4c58fecb', 'width': 160}]",Tejon Street Corner Thieves,38,artist,spotify:artist:3k9kCfMqAsrd90TMsYzzmo,https://open.spotify.com/artist/3k9kCfMqAsrd90TMsYzzmo,,33812
"['austin americana', 'deathgrass', 'new americana']",https://api.spotify.com/v1/artists/2N91y9Uko6gWwugdCpxJYH,2N91y9Uko6gWwugdCpxJYH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebeed1083d39a0041c8cb33c87', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174eed1083d39a0041c8cb33c87', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178eed1083d39a0041c8cb33c87', 'width': 160}]",Whiskey Shivers,30,artist,spotify:artist:2N91y9Uko6gWwugdCpxJYH,https://open.spotify.com/artist/2N91y9Uko6gWwugdCpxJYH,,23605
